reason,folder,filename
loop,"Dagshai 2004/11 NOV - 2004/DAGSHAI 13 - 15 NOV 2004 DIWALI CAMP/14 NOV - 2$ - 1130 AM","04 PRAVACHAN.json"
loop,"Dagshai 2004/11 NOV - 2004/DAGSHAI 13 - 15 NOV 2004 DIWALI CAMP/14 NOV - 3$ - 6 PM","03 MAIKHANE MEIN BAITHE HAIN.json"
loop,"Dagshai 2005/02 FEB - 2005/2 FEB 630 PM","02 TU NISHANE BENISHAN.json"
loop,"Dagshai 2005/03 MAR - 2005/23 MAR 615 PM","03 PYAR NAHI HAI SWAYAM SE.json"
loop,"Dagshai 2005/03 MAR - 2005/DAGSHAI 24 - 26 MAR 2005 HOLI CAMP/26 MAR-4$-1130 AM","03 PRAVACHAN.json"
loop,"Dagshai 2005/04 APR - 2005/22 APR 630 PM","03 MERO MAN VAIRAGI KAISO BA.json"
loop,"Dagshai 2005/04 APR - 2005/DAGSHAI 6 - 10 APR 2005/8 APR - 5$ - 630 PM","03 PRAVACHAN.json"
loop,"Dagshai 2005/06 JUNE - 2005/15 JUNE 12 PM","02 JAGAT KE RANG KYA DEKHOON.json"
loop,"Dagshai 2005/06 JUNE - 2005/DAGSHAI 13 - 15 JUNE 2005/14 JUNE - 2$ - 12 PM","03 TERE DAR PE MERE GURUVAR.json"
loop,"Dagshai 2005/08 AUG - 2005/22 AUG 630 PM","04 COMM ABOUT PURSHOTTAM & P.json"
loop,"Dagshai 2005/09 SEP - 2005/9 SEP 6 PM","02 DEEDAR KE PYASE HAIN.json"
loop,"Dagshai 2005/10 OCT - 2005/29 OCT 630 PM","03 HEY MERE GURUDEV KARUNA.json"
loop,"Dagshai 2005/10 OCT - 2005/31 OCT 630 PM","07 DEEPAWALI CELEBRATION.json"
loop,"Dagshai 2005/10 OCT - 2005/5 OCT 1130 AM","03 HEY MERE MURSHID MERI HA.json"
loop,"Dagshai 2005/10 OCT - 2005/5 OCT 630 PM","04 KAISE SAKOON PAAOON.json"
loop,"Dagshai 2006/04 APR - 2006/20 APR 645 PM","03 MAIN NAHI MERA NAHI.json"
loop,"Dagshai 2006/04 APR - 2006/DAGSHAI 22 - 23 APR 2006/22 APR 1$ 12 PM","02 JAB KISI SE KOI.json"
loop,"Dagshai 2006/04 APR - 2006/DAGSHAI 22 - 23 APR 2006/23 APR 3$ 11 AM","04 PRAVACHAN.json"
loop,"Dagshai 2006/05 MAY - 2006/DAGSHAI 20 - 23 MAY 2006 CHILDREN CAMP/22 MAY YOGA","01 YOGA.json"
loop,"Dagshai 2006/06 JUNE - 2006/19 JUNE 630 PM","04 TERE CHARNON MEIN SAR.json"
loop,"Dagshai 2006/06 JUNE - 2006/DAGSHAI 16 - 18 JUNE 2006/16 JUNE 1$ 1130 AM","02 JAAG JAAG 0 MANUA.json"
loop,"Dagshai 2006/06 JUNE - 2006/DAGSHAI 16 - 18 JUNE 2006/17 JUNE 4$ 700 PM","03 DERD SE MERA DAMAN.json"
loop,"Dagshai 2006/07 JULY - 2006/7 JUL 630 PM","04 BIRTHDAY CELEBRATION.json"
loop,"Dagshai 2006/08 AUG - 2006/3 AUG 645 PM","03 KAUN HARE DUKH MERO.json"
loop,"Dagshai 2006/08 AUG - 2006/DAGSHAI 14 - 16 AUG 2006/14 AUG - 1$ - 630 PM","05 TUNE KHOLA NA DER.json"
loop,"Dagshai 2006/08 AUG - 2006/DAGSHAI 26 - 27 AUG 2006/27 AUG - 2$ - 1130 AM","03 MUJHE GURUVAR YAHI VAR DO.json"
loop,"Live Masters 2010/01 NOIDA 7 - 10 JAN 2010/8 JAN - 2$ - 1030 AM","05 MAUSAM KOI HO.json"
loop,"Live Masters 2010/02 PITAMPURA DELHI 12 - 14 JAN 2010/11 JAN - WELCOME CELEBRATION","01 WELCOME CELEBRATION.json"
loop,"Live Masters 2010/04 PUNJABI BAGH CENTRE DELHI 19 - 20 JAN 2010/20 JAN - 3$ - 6 PM","1 COMPLETE SITTING (ZOOM RECORDER).json"
loop,"Live Masters 2010/05 MCF AUDI. FARIDABAD 22 - 25 JAN 2010/24 JAN - 5$ - 1030 AM","04 OM GURUVE NAMAH.json"
loop,"Live Masters 2010/08 ASHOK VIHAR DELHI 17 - 18 FEB 2010/17 FEB - 1$ - 630 PM","1 COMPLETE SITTING.json"
loop,"Live Masters 2010/10 RISHIKESH 27 FEB - 1 MAR 2010/28 FEB - 5$ - 1130 AM","06 SAMBODHAN.json"
loop,"Live Masters 2010/11 MCF AUDITORIUM FARIDABAD 20 - 21 MAR 2010/20 MAR - 3$ - 630 PM","04 OM GURUVE NAMAH.json"
loop,"Live Masters 2010/13 PANCHKULA 11 - 12 APR 2010/13 APR - PITAMBERDHARAN CELEBRATION - 815 AM","07 PITAMBERDHARAN CELEBRATION.json"
